identity,precision,recall,f1,support
Soham,1.0000,1.0000,1.0000,7
n000002,0.7273,1.0000,0.8421,8
n000005,0.8000,1.0000,0.8889,8
n000033,1.0000,1.0000,1.0000,8
n000034,1.0000,1.0000,1.0000,7
n000050,0.8571,0.8571,0.8571,7
n000051,0.8571,0.7500,0.8000,8
n000056,1.0000,0.8571,0.9231,7
n000058,0.7273,1.0000,0.8421,8
n000059,0.7778,1.0000,0.8750,7
n000060,1.0000,1.0000,1.0000,7
n000061,1.0000,1.0000,1.0000,7
n000066,1.0000,1.0000,1.0000,7
n000067,1.0000,1.0000,1.0000,8
n000069,0.7500,0.3750,0.5000,8
n000092,1.0000,0.8571,0.9231,7
n000093,0.8571,0.8571,0.8571,7
n000094,0.8750,0.8750,0.8750,8
n000095,0.8571,0.8571,0.8571,7
n000112,1.0000,1.0000,1.0000,7
n000113,0.8750,0.8750,0.8750,8
n000114,0.8889,1.0000,0.9412,8
n000115,1.0000,1.0000,1.0000,7
n000122,1.0000,1.0000,1.0000,8
n000123,0.8889,1.0000,0.9412,8
n000124,0.4375,1.0000,0.6087,7
n000125,1.0000,1.0000,1.0000,7
n000140,1.0000,1.0000,1.0000,7
n000141,1.0000,1.0000,1.0000,7
n000146,0.8889,1.0000,0.9412,8
n000170,1.0000,1.0000,1.0000,7
n000171,1.0000,0.7143,0.8333,7
n000176,0.8000,1.0000,0.8889,8
n000177,1.0000,0.7143,0.8333,7
n000179,1.0000,1.0000,1.0000,7
n000182,1.0000,1.0000,1.0000,7
n000183,1.0000,0.8750,0.9333,8
n000184,1.0000,0.7500,0.8571,8
n000185,1.0000,0.7500,0.8571,8
n000201,1.0000,0.8571,0.9231,7
n000206,1.0000,0.7143,0.8333,7
n000208,1.0000,1.0000,1.0000,8
n000230,1.0000,1.0000,1.0000,7
n000237,0.8889,1.0000,0.9412,8
n000239,0.8750,1.0000,0.9333,7
n000252,1.0000,0.7143,0.8333,7
n000253,0.8889,1.0000,0.9412,8
n000254,1.0000,0.8571,0.9231,7
n000255,1.0000,1.0000,1.0000,8
n000262,0.6364,1.0000,0.7778,7
n000263,1.0000,0.7500,0.8571,8
n000264,0.7778,0.8750,0.8235,8
n000290,1.0000,0.8750,0.9333,8
n000296,1.0000,0.8571,0.9231,7
n000297,1.0000,1.0000,1.0000,8
n000298,1.0000,1.0000,1.0000,7
n000299,1.0000,0.7500,0.8571,8
n000310,0.8889,1.0000,0.9412,8
n000311,1.0000,1.0000,1.0000,8
n000316,1.0000,1.0000,1.0000,8
n000317,1.0000,0.7500,0.8571,8
n000318,0.8889,1.0000,0.9412,8
n000319,1.0000,1.0000,1.0000,7
n000320,1.0000,1.0000,1.0000,8
n000321,0.8750,1.0000,0.9333,7
n000326,0.7778,1.0000,0.8750,7
n000327,1.0000,1.0000,1.0000,8
n000328,1.0000,0.7500,0.8571,8
n000329,1.0000,0.8571,0.9231,7
n000342,1.0000,1.0000,1.0000,7
n000343,1.0000,0.7143,0.8333,7
n000344,0.6154,1.0000,0.7619,8
n000345,0.8750,1.0000,0.9333,7
n000372,1.0000,0.7143,0.8333,7
n000373,1.0000,0.8750,0.9333,8
n000374,1.0000,1.0000,1.0000,7
n000375,1.0000,0.7500,0.8571,8
n000380,1.0000,1.0000,1.0000,8
n000381,0.8889,1.0000,0.9412,8
n000386,1.0000,0.8571,0.9231,7
n000387,1.0000,0.8571,0.9231,7
n000388,1.0000,1.0000,1.0000,7
n000389,1.0000,0.8750,0.9333,8
n000402,1.0000,1.0000,1.0000,7
n000403,1.0000,1.0000,1.0000,8
n000405,1.0000,1.0000,1.0000,8
n000432,1.0000,0.7500,0.8571,8
n000434,0.8750,1.0000,0.9333,7
n000435,0.8000,1.0000,0.8889,8
n000450,1.0000,0.7143,0.8333,7
n000457,1.0000,0.8750,0.9333,8
n000459,1.0000,0.8750,0.9333,8
n000461,0.8889,1.0000,0.9412,8
n000466,0.6000,0.8571,0.7059,7
n000468,1.0000,0.7500,0.8571,8
n000492,1.0000,1.0000,1.0000,7
n000495,1.0000,1.0000,1.0000,8
macro avg,0.9372,0.9179,0.9189,728
weighted avg,0.9367,0.9176,0.9186,728
